Extract tasks...
Tuning...
INFO:autotvm:Get devices for measurement successfully!
DEBUG:autotvm:No: 1	GFLOPS: 0.0000/0.0000	cost: 0.0000	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.06154012680053711, timestamp=1543904793.099984)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 128, 1]), ('tile_x', [2, 4, 1, 2]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,65389
DEBUG:autotvm:No: 60	GFLOPS: 1558.9848/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00014830869999999998,), error_no=0, all_cost=3.9061617851257324, timestamp=1543904951.4194431)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 64, 1]), ('tile_x', [4, 4, 1, 1]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,38985
DEBUG:autotvm:No: 61	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:29:15] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=9.150119304656982, timestamp=1543904955.9143252)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 8, 2, 4]), ('tile_x', [1, 8, 2, 1]), ('tile_rc', [8, 64]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,433071
DEBUG:autotvm:No: 62	GFLOPS: 348.7217/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.0006630244,), error_no=0, all_cost=3.5659759044647217, timestamp=1543904959.0157435)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 2, 4, 2]), ('tile_x', [4, 1, 1, 4]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,398273
DEBUG:autotvm:No: 63	GFLOPS: 21.4242/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.010792053,), error_no=0, all_cost=4.939452409744263, timestamp=1543904963.049358)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [256, 1, 2, 1]), ('tile_x', [1, 8, 1, 2]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,227270
DEBUG:autotvm:No: 64	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.10977387428283691, timestamp=1543904914.4662633)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 8, 64, 1]), ('tile_x', [4, 1, 1, 4]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,459848
DEBUG:autotvm:No: 65	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:29:27] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=5.923597812652588, timestamp=1543904967.4974618)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 4, 8, 16]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,189381
DEBUG:autotvm:No: 66	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.12390995025634766, timestamp=1543904914.4664118)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 1, 128, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,444057
DEBUG:autotvm:No: 67	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.09322643280029297, timestamp=1543904914.4664772)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 2, 32, 4]), ('tile_x', [1, 1, 4, 4]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,299331
DEBUG:autotvm:No: 68	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.08560895919799805, timestamp=1543904914.4665413)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 128, 2, 1]), ('tile_x', [1, 1, 4, 4]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,229917
DEBUG:autotvm:No: 69	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.22281980514526367, timestamp=1543904914.4666228)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 64, 2, 4]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,452874
DEBUG:autotvm:No: 70	GFLOPS: 52.4655/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00440691125,), error_no=0, all_cost=4.10606575012207, timestamp=1543904971.1324944)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 2, 1, 32]), ('tile_x', [4, 1, 4, 1]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,364066
DEBUG:autotvm:No: 71	GFLOPS: 353.2366/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.00065455005,), error_no=0, all_cost=4.251896619796753, timestamp=1543904974.5626707)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 32, 2, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,327815
DEBUG:autotvm:No: 72	GFLOPS: 2359.8559/2366.8869	cost: 0.0001	result: MeasureResult(costs=(9.797675000000001e-05,), error_no=0, all_cost=3.560534954071045, timestamp=1543904977.5565176)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 64, 1]), ('tile_x', [4, 1, 1, 4]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,352045
DEBUG:autotvm:No: 73	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.09833073616027832, timestamp=1543904914.4668858)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 32, 2, 4]), ('tile_x', [1, 4, 2, 2]), ('tile_rc', [8, 64]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,358933
DEBUG:autotvm:No: 74	GFLOPS: 16.4403/2366.8869	cost: 0.0001	result: MeasureResult(costs=(0.01406364065,), error_no=0, all_cost=4.802228689193726, timestamp=1543904981.7677538)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 1, 2, 128]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,21993
DEBUG:autotvm:No: 75	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.07335925102233887, timestamp=1543904914.4670172)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 2, 16, 16]), ('tile_x', [4, 2, 2, 1]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,217103
DEBUG:autotvm:No: 76	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:29:46] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=10.309593200683594, timestamp=1543904986.1805313)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 8, 1, 64]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,175763
DEBUG:autotvm:No: 77	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.08214950561523438, timestamp=1543904915.8215938)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 2, 4, 8]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,67910
DEBUG:autotvm:No: 78	GFLOPS: 0.0000/2366.8869	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.10214567184448242, timestamp=1543904915.8216884)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 64, 1]), ('tile_x', [16, 1, 1, 1]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,61645
DEBUG:autotvm:No: 79	GFLOPS: 2549.7943/2549.7943	cost: 0.0001	result: MeasureResult(costs=(9.06783e-05,), error_no=0, all_cost=3.423776626586914, timestamp=1543904989.2231905)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 2, 32, 2]), ('tile_x', [1, 4, 2, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,343511
DEBUG:autotvm:No: 80	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.09173798561096191, timestamp=1543904915.8218713)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 256, 1, 1]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [8, 64]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,128268
DEBUG:autotvm:No: 81	GFLOPS: 239.9940/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.0009634034,), error_no=0, all_cost=4.107118129730225, timestamp=1543904992.7362278)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 4, 4, 16]), ('tile_x', [8, 1, 1, 2]), ('tile_rc', [512, 1]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,157477
DEBUG:autotvm:No: 82	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.07817625999450684, timestamp=1543904915.8220348)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 16, 1, 32]), ('tile_x', [1, 2, 1, 8]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,138129
DEBUG:autotvm:No: 83	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.0998544692993164, timestamp=1543904915.8221202)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 32, 1, 16]), ('tile_x', [1, 1, 4, 4]), ('tile_rc', [1, 512]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,384069
DEBUG:autotvm:No: 84	GFLOPS: 2392.4052/2549.7943	cost: 0.0001	result: MeasureResult(costs=(9.664375e-05,), error_no=0, all_cost=3.6714816093444824, timestamp=1543904996.0733285)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 2, 32, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,18351
DEBUG:autotvm:No: 85	GFLOPS: 164.3725/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.00140662835,), error_no=0, all_cost=4.062946081161499, timestamp=1543904999.5927904)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 16, 8, 1]), ('tile_x', [2, 2, 1, 4]), ('tile_rc', [8, 64]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,51951
DEBUG:autotvm:No: 86	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.08778047561645508, timestamp=1543904915.8223588)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 4, 16, 4]), ('tile_x', [2, 1, 1, 8]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,299548
DEBUG:autotvm:No: 87	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:30:04] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=5.458912134170532, timestamp=1543905004.2944195)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 16, 2, 8]), ('tile_x', [4, 2, 1, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,327067
DEBUG:autotvm:No: 88	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.09201884269714355, timestamp=1543904915.822511)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 4, 8, 8]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,297156
DEBUG:autotvm:No: 89	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.09141087532043457, timestamp=1543904915.8225842)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 1, 256, 2]), ('tile_x', [4, 2, 2, 1]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,55319
DEBUG:autotvm:No: 90	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:30:08] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=5.063844680786133, timestamp=1543905008.8867037)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 128, 1, 2]), ('tile_x', [2, 2, 4, 1]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,240962
DEBUG:autotvm:No: 91	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:30:13] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=5.05147123336792, timestamp=1543905013.4355326)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 4, 1, 64]), ('tile_x', [1, 4, 4, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,333722
DEBUG:autotvm:No: 92	GFLOPS: 0.0000/2549.7943	cost: 0.0001	result: MeasureResult(costs=(RuntimeError('[01:30:17] /homes/zheng321/tvm/src/runtime/rpc/rpc_session.cc:942: Check failed: code == RPCCode::kReturn code=4\n\n',),), error_no=4, all_cost=5.079552173614502, timestamp=1543905017.9235172)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [2, 32, 4, 2]), ('tile_x', [2, 1, 1, 8]), ('tile_rc', [512, 1]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,237897
DEBUG:autotvm:No: 93	GFLOPS: 689.7697/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.0003352003,), error_no=0, all_cost=3.2156288623809814, timestamp=1543905020.7413695)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 2, 8, 8]), ('tile_x', [4, 2, 2, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,24575
DEBUG:autotvm:No: 94	GFLOPS: 98.7619/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.0023410961,), error_no=0, all_cost=3.8426928520202637, timestamp=1543905024.1147623)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 8, 8, 1]), ('tile_x', [4, 1, 1, 4]), ('tile_rc', [4, 128]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,136430
DEBUG:autotvm:No: 95	GFLOPS: 291.4810/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.0007932283,), error_no=0, all_cost=4.779331684112549, timestamp=1543905028.059139)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 1, 4, 4]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,141575
DEBUG:autotvm:No: 96	GFLOPS: 49.6738/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.0046545899000000005,), error_no=0, all_cost=4.259998798370361, timestamp=1543905031.777153)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [1, 128, 4, 1]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,25986
DEBUG:autotvm:XGB iter:   0	tr-a-recall@64: 0.620075	tr-map: 0.050000
DEBUG:autotvm:XGB iter:  25	tr-a-recall@64: 0.831608	tr-map: 0.500000
DEBUG:autotvm:XGB iter:  50	tr-a-recall@64: 0.837493	tr-map: 0.250000
DEBUG:autotvm:XGB stopped. Best iteration: [45] tr-a-recall@64:0.847244	tr-map:0.25 
DEBUG:autotvm:XGB train: 2.74	obs: 96	error: 53	n_cache: 96
DEBUG:autotvm:SA iter: 50	last_update: 49	max-0: 8.67	max-1: 9.84	temp: 0.90	elapsed: 9.58
DEBUG:autotvm:SA iter: 100	last_update: 99	max-0: 8.89	max-1: 9.84	temp: 0.80	elapsed: 19.96
DEBUG:autotvm:SA iter: 150	last_update: 149	max-0: 9.04	max-1: 9.84	temp: 0.70	elapsed: 29.70
DEBUG:autotvm:SA iter: 200	last_update: 198	max-0: 9.11	max-1: 9.84	temp: 0.60	elapsed: 38.93
DEBUG:autotvm:SA iter: 250	last_update: 248	max-0: 9.14	max-1: 9.84	temp: 0.50	elapsed: 47.20
DEBUG:autotvm:SA iter: 300	last_update: 279	max-0: 9.17	max-1: 9.84	temp: 0.40	elapsed: 55.00
DEBUG:autotvm:SA iter: 350	last_update: 333	max-0: 9.18	max-1: 9.84	temp: 0.30	elapsed: 61.29
DEBUG:autotvm:SA iter: 383	last_update: 333	max-0: 9.18	max-1: 9.84	elapsed: 65.25
DEBUG:autotvm:SA Maximums: [(9.836822, 327670), (9.694298, 96670), (9.6438, 327620), (9.628442, 119940), (9.628442, 350940), (9.62676, 327840), (9.581755, 328945), (9.574454, 329600), (9.501276, 96620), (9.484236, 96840), (9.439231, 97945), (9.431931, 98600), (9.428233, 319920), (9.424229, 404670), (9.4093895, 335980), (9.395031, 250670), (9.370641, 328325), (9.369235, 112240), (9.369235, 343240), (9.367183, 338395), (9.337228, 345435), (9.337228, 344160), (9.321133, 327621), (9.315357, 338396), (9.306361, 336460), (9.296781, 328275), (9.289378, 120375), (9.289378, 351375), (9.288086, 343285), (9.288086, 335585), (9.288086, 104585), (9.288086, 112285), (9.285709, 88920), (9.285402, 345436), (9.285402, 344161), (9.285242, 337735), (9.281705, 173670), (9.277909, 337520), (9.274796, 242920), (9.26774, 321945), (9.266866, 104980), (9.256473, 320140), (9.252507, 19670), (9.231207, 404620), (9.228117, 97325), (9.227246, 113995), (9.227246, 106295), (9.227246, 344995), (9.227246, 337295), (9.224659, 107395), (9.221765, 329601), (9.220172, 320006), (9.217203, 251325), (9.216921, 250621), (9.214167, 404840), (9.205759, 333825), (9.202009, 250620), (9.196355, 344115), (9.194704, 113160), (9.194704, 114435), (9.189608, 319970), (9.186651, 42940), (9.186651, 273940), (9.184969, 250840)]
DEBUG:autotvm:No: 97	GFLOPS: 2356.5943/2549.7943	cost: 0.0001	result: MeasureResult(costs=(9.811235e-05,), error_no=0, all_cost=1.278104305267334, timestamp=1543905103.4274516)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 32, 2]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,327670
DEBUG:autotvm:No: 98	GFLOPS: 2345.3662/2549.7943	cost: 0.0001	result: MeasureResult(costs=(9.858205e-05,), error_no=0, all_cost=1.1691749095916748, timestamp=1543905104.1989467)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 32, 2]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,96670
DEBUG:autotvm:No: 99	GFLOPS: 1771.6015/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.0001305096,), error_no=0, all_cost=1.1332275867462158, timestamp=1543905104.995408)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,327620
DEBUG:autotvm:No: 100	GFLOPS: 1793.1939/2549.7943	cost: 0.0001	result: MeasureResult(costs=(0.0001289381,), error_no=0, all_cost=1.2774641513824463, timestamp=1543905105.8321311)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,119940
DEBUG:autotvm:No: 101	GFLOPS: 2669.0979/2669.0979	cost: 0.0001	result: MeasureResult(costs=(8.662515e-05,), error_no=0, all_cost=1.2763187885284424, timestamp=1543905106.6435988)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,350940
DEBUG:autotvm:No: 102	GFLOPS: 2877.8008/2877.8008	cost: 0.0001	result: MeasureResult(costs=(8.034295e-05,), error_no=0, all_cost=1.2229621410369873, timestamp=1543905107.40763)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,327840
DEBUG:autotvm:No: 103	GFLOPS: 2231.7277/2877.8008	cost: 0.0001	result: MeasureResult(costs=(0.00010360180000000001,), error_no=0, all_cost=1.2081727981567383, timestamp=1543905108.1981246)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 64, 1]), ('tile_x', [4, 1, 1, 4]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,328945
DEBUG:autotvm:No: 104	GFLOPS: 2940.0972/2940.0972	cost: 0.0001	result: MeasureResult(costs=(7.864060000000001e-05,), error_no=0, all_cost=1.166966199874878, timestamp=1543905108.9775074)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,329600
DEBUG:autotvm:No: 105	GFLOPS: 1546.8346/2940.0972	cost: 0.0001	result: MeasureResult(costs=(0.00014947365,), error_no=0, all_cost=1.1825149059295654, timestamp=1543905109.7614954)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,96620
DEBUG:autotvm:No: 106	GFLOPS: 2203.7516/2940.0972	cost: 0.0001	result: MeasureResult(costs=(0.00010491700000000001,), error_no=0, all_cost=1.221067190170288, timestamp=1543905110.5241683)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,96840
DEBUG:autotvm:No: 107	GFLOPS: 2235.6616/2940.0972	cost: 0.0001	result: MeasureResult(costs=(0.00010341949999999999,), error_no=0, all_cost=1.2231285572052002, timestamp=1543905111.3038929)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 64, 1]), ('tile_x', [4, 1, 1, 4]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,97945
DEBUG:autotvm:No: 108	GFLOPS: 2429.1566/2940.0972	cost: 0.0001	result: MeasureResult(costs=(9.51816e-05,), error_no=0, all_cost=1.14555025100708, timestamp=1543905112.062588)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,98600
DEBUG:autotvm:No: 109	GFLOPS: 1433.7645/2940.0972	cost: 0.0001	result: MeasureResult(costs=(0.0001612615,), error_no=0, all_cost=1.1904664039611816, timestamp=1543905112.8483052)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,319920
DEBUG:autotvm:No: 110	GFLOPS: 2360.1534/2940.0972	cost: 0.0001	result: MeasureResult(costs=(9.79644e-05,), error_no=0, all_cost=1.1390883922576904, timestamp=1543905113.5630345)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 32, 2]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,404670
DEBUG:autotvm:No: 111	GFLOPS: 2054.5597/2940.0972	cost: 0.0001	result: MeasureResult(costs=(0.00011253554999999999,), error_no=0, all_cost=1.1704316139221191, timestamp=1543905114.3442833)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 1, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,335980
DEBUG:autotvm:No: 112	GFLOPS: 2374.9757/2940.0972	cost: 0.0001	result: MeasureResult(costs=(9.7353e-05,), error_no=0, all_cost=1.162895679473877, timestamp=1543905115.0691504)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 32, 2]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,250670
DEBUG:autotvm:No: 113	GFLOPS: 2889.8739/2940.0972	cost: 0.0001	result: MeasureResult(costs=(8.00073e-05,), error_no=0, all_cost=1.1796972751617432, timestamp=1543905115.8452845)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [2, 1, 4, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,328325
